"interaction(party, college, era)",folk,se
Dem.0.post,0.17456357875579534,0.018019685552089555
Rep.0.post,0.4221740199432353,0.02283240725988884
Dem.1.post,0.08286122627604944,0.016519761046898722
Rep.1.post,0.30411317769398666,0.031795913176087286
Dem.0.pre,0.4807634827950671,0.016225156668562866
Rep.0.pre,0.4663399496229633,0.017979667095098177
Dem.1.pre,0.2248452999332186,0.02210413018631769
Rep.1.pre,0.35504444474634417,0.02441935250568192
