year,dem_share,rep_share,gap
2006,0.428672846028372,0.5673127528699714,0.13863990684159938
2008,0.4183859578669076,0.5831326510134457,0.16474669314653811
2010,0.3735725277395318,0.5421243716253956,0.1685518438858638
2012,0.36839874544798284,0.5867881609404592,0.2183894154924763
2014,0.40734579571738755,0.5629554901686049,0.15560969445121736
2016,0.33765241628563564,0.5464842534386712,0.2088318371530356
2018,0.3411610557106494,0.5810377043821856,0.23987664867153619
