year,item,gap
1996,immigrants not good for economy,0.0128429176669268
2004,immigrants not good for economy,-0.020457677553528036
2014,immigrants not good for economy,0.10156266917976506
2024,immigrants not good for economy,0.21851532583991173
1996,immigrants take jobs,-0.030114901343547718
2004,immigrants take jobs,0.008860131513171166
2014,immigrants take jobs,0.08449469545802812
2022,immigrants take jobs,0.1784715346893439
2024,immigrants take jobs,0.33222135676940756
