year,education,dem_share,rep_share,gap
1996,college,0.2764237498690375,0.34482938606916813,0.06840563620013063
1996,no_college,0.5446003363877898,0.4992402159058972,-0.04536012048189264
2004,college,0.2493419126570464,0.35035937500892084,0.10101746235187445
2004,no_college,0.488825264152771,0.4635390523917401,-0.025286211761030908
2014,college,0.1613885061198022,0.3705698130854366,0.20918130696563436
2014,no_college,0.39532865993182703,0.4269088224659515,0.03158016253412449
2022,college,0.1335275088719996,0.24626235373306976,0.11273484486107016
2022,no_college,0.17177969970199627,0.3689146456873004,0.19713494598530415
2024,college,0.03164141567395902,0.3635972361564879,0.3319558204825289
2024,no_college,0.17792934144467706,0.4811499173466934,0.30322057590201634
