term,estimate,std.error,statistic,p.value,conf.low,conf.high
rep,1.1246421133472089,0.0832547517179676,1.410908820841713,0.1583206669639893,0.9552877518192447,1.3240197843062054
post,0.22737186392178524,0.1348395096927829,-10.984676806902904,8.067943197742065e-28,0.17455776087122224,0.2961653738295047
college,0.44826631419524793,0.09371882923357637,-8.561436142729928,1.3839951781658592e-17,0.3730329789782876,0.5386727173360418
rep:post,3.380439332782855,0.16069495797667785,7.5796135516478875,3.9632989867003285e-14,2.466966080282902,4.632155331991817
post:college,1.1376097614645229,0.1735713468876225,0.7428032511980235,0.4576283842393152,0.8095074362708827,1.5986955911623149
