model,party_knowledge_coef,p_value,n
baseline,0.5259451006548379,7.537233437123911e-6,4402
+ party x education,0.4669920199098714,0.0012907764315139947,4369
+ party x ideology,0.4906422208970206,4.422222318213031e-5,3920
+ both,0.4831899555748845,8.762681432770464e-4,3896
