knowledge,dem_share,rep_share,gap,n
low (0-1),0.17211711012541764,0.5082161578612003,0.3360990477357827,1630
mid (2),0.13013145303128115,0.5448701002196867,0.4147386471884056,1286
high (3-4),0.07114564259509906,0.5331078598899058,0.4619622172948068,1486
